term,freq,weight
000000000002858request,1,1.0
000000000003619request,3,2.0986122886681096
000000000003991approver,1,1.0
000000000003997approver,1,1.0
000000000005168approver,1,1.0
000000000005409approver,1,1.0
000000000005411approver,1,1.0
000000000005412approver,1,1.0
000000000005413approver,1,1.0
000000000005820approver,2,1.6931471805599454
000000000006238approver,1,1.0
000000000006452approver,2,1.6931471805599454
000000000007399request,1,1.0
000000000007494request,3,2.0986122886681096
000000000007498request,1,1.0
000000000007568request,1,1.0
000000000007588request,2,1.6931471805599454
000000000007589request,3,2.0986122886681096
000000000007590request,2,1.6931471805599454
000000000007591request,2,1.6931471805599454
000000000007592request,1,1.0
000000000007593request,2,1.6931471805599454
000000000007666request,1,1.0
000000000007874request,1,1.0
000000000007876approver,4,2.386294361119891
000000000008254request,1,1.0
000000000008348request,1,1.0
000000000008544request,2,1.6931471805599454
000000000008582request,2,1.6931471805599454
000000000008593request,1,1.0
000000000008853request,2,1.6931471805599454
000000000008858request,2,1.6931471805599454
000000000009507request,1,1.0
000000000009596request,2,1.6931471805599454
000000000009641request,1,1.0
000000000009688request,1,1.0
000000000009797request,3,2.0986122886681096
000000000009842request,4,2.386294361119891
000000000010207request,2,1.6931471805599454
000000000010210request,1,1.0
000000000010211request,1,1.0
000000000010212request,1,1.0
000000000010219request,1,1.0
000000000010552request,1,1.0
000000000011185request,3,2.0986122886681096
000000000012677approver,1,1.0
000000000012734approver,1,1.0
000000000012735approver,1,1.0
000000000012736approver,1,1.0
000000000012738approver,1,1.0
000000000012741approver,1,1.0
000000000012987approver,1,1.0
000000000013085approver,1,1.0
000000000013287approver,1,1.0
000000000015384approver,1,1.0
000000000015793approver,1,1.0
000000000023619approver,1,1.0
000000000024099request,1,1.0
000000000025307approver,1,1.0
000000000025312request,1,1.0
000000000031063request,2,1.6931471805599454
000000000031067request,2,1.6931471805599454
000000000038953request,1,1.0
000000000049773request,1,1.0
000000000053239request,2,1.6931471805599454
000000000053327approver,1,1.0
000000000053327this,1,1.0
000000000053328request,1,1.0
000000000054493request,1,1.0
000000000055952request,1,1.0
000000000079989request,1,1.0
00000000i,1,1.0
00000000message,3,2.0986122886681096
0000102789department,3,2.0986122886681096
0000104281department,3,2.0986122886681096
0000104282department,3,2.0986122886681096
0000108729department,5,2.6094379124341005
0000closest,2,1.6931471805599454
0000fax,1,1.0
0000from,1,1.0
0000received,1,1.0
00011willing,1,1.0
0001japan81,1,1.0
0004plao,1,1.0
000_,1,1.0
000above,1,1.0
000accepted,5,2.6094379124341005
000activities,1,1.0
000actual,1,1.0
000adults,1,1.0
000aep,1,1.0
000ami,3,2.0986122886681096
000analyst,4,2.386294361119891
000and,4,2.386294361119891
000approximate,1,1.0
000april,1,1.0
000aquila,1,1.0
000ar,3,2.0986122886681096
000as,10,3.3025850929940455
000associate,3,2.0986122886681096
000at,1,1.0
000auction,1,1.0
000average,5,2.6094379124341005
000bank,2,1.6931471805599454
000barrels,2,1.6931471805599454
000bert,1,1.0
000bids,1,1.0
000big,3,2.0986122886681096
000bob,1,1.0
000by,1,1.0
000calger,2,1.6931471805599454
000ceg,1,1.0
000christopher,1,1.0
000city,1,1.0
000cline,1,1.0
000co,1,1.0
000coming,1,1.0
000comstock,1,1.0
000connections,1,1.0
000contacts,1,1.0
000crescendo,1,1.0
000cross,1,1.0
000crosstex,2,1.6931471805599454
000cypress,1,1.0
000daily,1,1.0
000dave,1,1.0
000deal,4,2.386294361119891
000deluca,1,1.0
000dempsey,1,1.0
000disconnections,1,1.0
000documents,1,1.0
000down,1,1.0
000dth,4,2.386294361119891
000duke,3,2.0986122886681096
000dupont,1,1.0
000dwight,1,1.0
000dynegy,2,1.6931471805599454
000east,1,1.0
000efm,2,1.6931471805599454
000ellis,1,1.0
000ena,1,1.0
000engi,1,1.0
000enovate,3,2.0986122886681096
000enron,6,2.791759469228055
000epmi,7,2.9459101490553135
000equity,7,2.9459101490553135
000ercot,1,1.0
000ergon,1,1.0
000expected,2,1.6931471805599454
000fans,1,1.0
000february,1,1.0
000flow,3,2.0986122886681096
000fred,3,2.0986122886681096
000gas,1,1.0
000give,1,1.0
000good,1,1.0
000grand,2,1.6931471805599454
000guaranty,8,3.0794415416798357
000guillory,1,1.0
000h,2,1.6931471805599454
000here,3,2.0986122886681096
000hesco,1,1.0
000horsepower,1,1.0
000houston,1,1.0
000hv,1,1.0
000i,3,2.0986122886681096
000if,1,1.0
000iferc,2,1.6931471805599454
000inoctober,1,1.0
000inter,1,1.0
000into,2,1.6931471805599454
000jacobs,1,1.0
000johnson,1,1.0
000joll,1,1.0
000juniper,1,1.0
000kyle,1,1.0
000laura,3,2.0986122886681096
000leaf,1,1.0
000lethbridgeexisting,1,1.0
000life,2,1.6931471805599454
000lomax,4,2.386294361119891
000louise,2,1.6931471805599454
000makes,1,1.0
000many,1,1.0
000megawatts,2,1.6931471805599454
000meter,2,1.6931471805599454
000mgi,1,1.0
000mm,1,1.0
000mmbtu,24,4.178053830347945
000mmbtuwill,1,1.0
000mw,4,2.386294361119891
000need,2,1.6931471805599454
000no,2,1.6931471805599454
000not,1,1.0
000number,1,1.0
000o,1,1.0
000office,2,1.6931471805599454
000on,1,1.0
000oneok,1,1.0
000order,1,1.0
000origination,1,1.0
000other,1,1.0
000oxy,2,1.6931471805599454
000pancanadian,1,1.0
000parquet,2,1.6931471805599454
000payable,1,1.0
000per,4,2.386294361119891
000pg,2,1.6931471805599454
000please,5,2.6094379124341005
000ponokaexisting,1,1.0
000positive,1,1.0
000power,1,1.0
000preferred,3,2.0986122886681096
000preston,1,1.0
000pure,1,1.0
000pvol,2,1.6931471805599454
000red,1,1.0
000retention,1,1.0
000richardson,2,1.6931471805599454
000rohm,1,1.0
000sam,1,1.0
000sempra,1,1.0
000sept,2,1.6931471805599454
000shares,1,1.0
000shona,1,1.0
000signing,3,2.0986122886681096
000smud,1,1.0
000southeast,1,1.0
000square,1,1.0
000subtotal,3,2.0986122886681096
000tax,1,1.0
000texaco,1,1.0
000texland,1,1.0
000thanks,1,1.0
000thankslouiselouise,3,2.0986122886681096
000the,2,1.6931471805599454
000these,1,1.0
000this,2,1.6931471805599454
000thomas,2,1.6931471805599454
000today,3,2.0986122886681096
000total,5,2.6094379124341005
000training,2,1.6931471805599454
000transactions,1,1.0
000tuition,2,1.6931471805599454
000two,1,1.0
000txu,3,2.0986122886681096
000v,1,1.0
000volume,1,1.0
000wb,1,1.0
000we,2,1.6931471805599454
000website,1,1.0
000westwin,1,1.0
000when,4,2.386294361119891
000wisconsin,5,2.6094379124341005
000with,2,1.6931471805599454
000wolfe,2,1.6931471805599454
000yards,1,1.0
0011co,2,1.6931471805599454
0011please,2,1.6931471805599454
0011priority,3,2.0986122886681096
0011r,5,2.6094379124341005
0011rc,4,2.386294361119891
0011thankskevin,1,1.0
001enron,2,1.6931471805599454
001firm,2,1.6931471805599454
001rwe,1,1.0
001transport012,2,1.6931471805599454
001zimin,1,1.0
002813monitor,1,1.0
002epmi,1,1.0
002zimin,2,1.6931471805599454
003injection,1,1.0
003w,1,1.0
003zimin,2,1.6931471805599454
004epmi,1,1.0
0055high,1,1.0
005777986805routing,1,1.0
0057field,2,1.6931471805599454
005to,2,1.6931471805599454
0060if,1,1.0
0067i,1,1.0
006902704customer,2,1.6931471805599454
0070for,4,2.386294361119891
0070freephone,5,2.6094379124341005
0088marketers,1,1.0
0090please,1,1.0
00_,1,1.0
00a,11,3.3978952727983707
00according,2,1.6931471805599454
00accounting,3,2.0986122886681096
00additionally,1,1.0
00adm,1,1.0
00affiliate,2,1.6931471805599454
00aimee,1,1.0
00aisa,1,1.0
00all,1,1.0
00allocations,1,1.0
00alport,2,1.6931471805599454
00also,2,1.6931471805599454
00am,8,3.0794415416798357
00ami,1,1.0
00and,1,1.0
00approval,2,1.6931471805599454
00arre,3,2.0986122886681096
00as,4,2.386294361119891
00at,1,1.0
00attached,5,2.6094379124341005
00average,3,2.0986122886681096
00axford,2,1.6931471805599454
00badeer,2,1.6931471805599454
00bank,1,1.0
00base,1,1.0
00beginning,2,1.6931471805599454
00belden,2,1.6931471805599454
00beverly,1,1.0
00bid,2,1.6931471805599454
00bruce,2,1.6931471805599454
00buerkle,2,1.6931471805599454
00buffet,1,1.0
00but,1,1.0
00cal,1,1.0
00calger,2,1.6931471805599454
00call,12,3.4849066497880004
00can,3,2.0986122886681096
00carlos,3,2.0986122886681096
00carr,2,1.6931471805599454
00ces,12,3.4849066497880004
00chatterton,2,1.6931471805599454
00children,1,1.0
00christina,1,1.0
00christine,1,1.0
00cinergy,1,1.0
00clark,2,1.6931471805599454
00cleburne,1,1.0
00co,1,1.0
00cob,1,1.0
00column,1,1.0
00conference,3,2.0986122886681096
00contract,1,1.0
00creating,1,1.0
00crescendo,1,1.0
00crosstex,1,1.0
00daren,12,3.4849066497880004
00darren,2,1.6931471805599454
00davidson,2,1.6931471805599454
00deal,2,1.6931471805599454
00dear,9,3.197224577336219
00deliveries,6,2.791759469228055
00delivery,1,1.0
00didn,1,1.0
00dl,1,1.0
00do,2,1.6931471805599454
00domain,3,2.0986122886681096
00domtar,1,1.0
00done,2,1.6931471805599454
00driscoll,2,1.6931471805599454
00duke,1,1.0
00ed,1,1.0
00edf,3,2.0986122886681096
00ees,2,1.6931471805599454
00effective,3,2.0986122886681096
00elafandi,2,1.6931471805599454
00ena,1,1.0
00enron,2,1.6931471805599454
00equity,4,2.386294361119891
00f,1,1.0
00fimat,1,1.0
00finding,1,1.0
00for,12,3.4849066497880004
00forward,1,1.0
00from,1,1.0
00fuller,2,1.6931471805599454
00fyi,1,1.0
00gary,2,1.6931471805599454
00gilbert,2,1.6931471805599454
00give,2,1.6931471805599454
00goals,3,2.0986122886681096
00gp,1,1.0
00gpg,2,1.6931471805599454
00grand,13,3.5649493574615367
00gst,2,1.6931471805599454
00guillaume,2,1.6931471805599454
00have,2,1.6931471805599454
00he,2,1.6931471805599454
00heidi,1,1.0
00hello,2,1.6931471805599454
00here,1,1.0
00hi,1,1.0
00hours,1,1.0
00how,1,1.0
00however,1,1.0
00hsbc,2,1.6931471805599454
00i,20,3.995732273553991
00if,12,3.4849066497880004
00in,3,2.0986122886681096
00includes,2,1.6931471805599454
00initial,1,1.0
00is,2,1.6931471805599454
00item,1,1.0
00jackie,8,3.0794415416798357
00job,3,2.0986122886681096
00john,1,1.0
00jones,1,1.0
00jp,1,1.0
00julie,5,2.6094379124341005
00just,2,1.6931471805599454
00katherine,1,1.0
00katherineas,1,1.0
00keiser,1,1.0
00kim,3,2.0986122886681096
00kulic,1,1.0
00lee,1,1.0
00let,1,1.0
00limited,2,1.6931471805599454
00living,1,1.0
00loibl,1,1.0
00love,1,1.0
00lunch,2,1.6931471805599454
00managing,1,1.0
00mann,1,1.0
00may,2,1.6931471805599454
00mclaughlin,1,1.0
00megan,2,1.6931471805599454
00mick,1,1.0
00microsoft,1,1.0
00mid,30,4.401197381662156
00mr,3,2.0986122886681096
00mwh,1,1.0
00name,1,1.0
00no,2,1.6931471805599454
00non,1,1.0
00note,2,1.6931471805599454
00np,26,4.258096538021482
00on,1,1.0
00open,2,1.6931471805599454
00option,1,1.0
00or,2,1.6931471805599454
00order,1,1.0
00ote,1,1.0
00p,10,3.3025850929940455
00palmer,1,1.0
00palo,36,4.58351893845611
00paribas,2,1.6931471805599454
