rank,subject
8.43592122551616,hilcorp old ocean
9.517105738668091,meter concorde churchill
7.5056787751367855,revision sea robin volume
11.429806844220614,natural gas nomination
10.416552223881334,november prelim wellhead production estimate
8.03625816934621,logistics training
9.037849945819241,revised nomination
9.734973705676024,global octane meter july activity
8.982837324722096,chris hose corrected resume
5.2851718099007,attention basketball player
10.22240153800545,feedback monitor error meter
10.274670163644501,enron hpl actuals december
5.723805294078541,meoh upset
8.902328690290096,april aspect volume texas city
8.042582458600625,re centana mobil april
14.256477924763175,hl p january
10.21090352784238,re volume increase hpl meter g marshall hpl
7.6480956498431105,revised sea robin availability effective
4.461040337524717,wellhead
8.276788056194658,training resource cost attend energy operation system
8.53742409453583,upcoming sitara risk assignment release
7.4986610505701865,potential well head january
9.508968794983302,valero
7.478462327511797,order amazon com
5.796601319456874,re
8.965798615125024,wc revision effective stingray p l
9.841680228706313,revision enron hpl actuals sept
8.299288616075573,plan allocation january allocation
8.557161922687106,imbalance gas
12.969951963711205,hub destruction rough draft progress
8.860709238790049,mcnic lyondell nomination change jan
8.472751708939008,lindholm oil inc
9.968051807590815,nom
8.570627226352546,ect enron com email notification
12.691964874336128,re information regarding batch noms aug
10.717918491631119,re new update buyback
17.967722698219653,re follow
5.783561455876501,aol instant messenger reconfirmation
8.429222540359213,work assignment
8.503636050185627,calpine daily gas nomination
8.191917200004147,see attached file hplo xl
5.8257702431899165,re tgp sabine
9.845030256537376,enron hpl actuals august
10.14067706084139,re hpl meter bammel hpl p transco
11.47974149565423,re sitara release change global due consent
12.900641885968891,enron hpl actuals november
9.84409995403793,neon discussion february
6.871698019392942,spring basketball tournament
12.02726265522203,nomination
11.967627806238113,tenaska
6.063975373367033,memo presentation brian redmond
10.295011821959333,please note new email address
9.750298232903866,enron hpl actuals october
8.243601315175297,fw intrastate gas
8.461326487667462,meter lamay gaslift
8.457170751455852,estimated actuals april
13.328210330997788,tux fuel nomination
10.32739218617421,eastrans nomination change effective
26.130719858903003,re industrials
11.139702971587841,hpl nom april
8.427334027057649,re meter purch torch rally october
5.692616059288667,
9.650907018727402,re rate tenaska deal
11.643492718764719,re meter
11.478639190028934,copano change
11.647689140299295,enron hpl actuals december
5.113152971052843,ethane election september
7.032304775993988,potential list mar
7.907504832518925,pipeline still dial access nomination
8.943049061957888,meter
13.906968437779753,re personal information need updated
9.870932659147897,august activity
10.027852564513474,mobil beaumont refinery
10.667209459831087,revision hpl nom october
